region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,FK Bodø/Glimt,AS Mónaco,"0:1
(0:1)",Haikin,Köhn,Moe,Salisu,Bjørtuft,Kehrer,Bjørkan,Caio Henri.,Sjøvold,Ouattara,Berg,Teze,Auklend,Coulibaly,Evjen,Golovin,Fet,Minamino,Hauge,Akliouche,Høgh,Balogun
Internacional,Champions League,2025,Olympiacos El Pireo,PSV Eindhoven,"1:1
(1:0)",Tzolakis,Kovar,Pirola,Gasiorowski,Retsos,Salah-Eddine,Ortega,Mauro Júnior,Rodinei,Dest,García,Schouten,Mouzakitis,Veerman,Chiquinho,Til,Podence,Saibari,Martins,Perišić,El Kaabi,Man
Internacional,Champions League,2025,Qarabağ FK,Chelsea FC,"2:2
(2:1)",Kochalski,Sánchez,Mustafazada,Adarabioyo,Medina,Hato,Cafarquliyev,Cucurella,Matheus Si.,James,Bicalho,Lavia,Jankovic,Santos,Borges,George,Zoubir,Gittens,Leandro An.,Estêvão,Durán,João Pedro
Internacional,Champions League,2025,Pafos FC,Villarreal CF,"1:0
(0:0)",Michail,Luiz Júnior,Goldar,Foyth,David Luiz,Veiga,Luckassen,Cardona,Sema,Mouriño,Bruno,Parejo,Šunjić,Gueye,Quina,Moleiro,Pêpê,Pépé,Dragomir,Pérez,Orsic,Mikautadze
Internacional,Champions League,2025,Inter de Milán,Kairat Almaty,"2:1
(1:0)",Sommer,Anarbekov,de Vrij,Sorokin,Bisseck,Shirobokov,Dimarco,Mata,Carlos Aug.,Mrynskiy,Dumfries,Kasabulat,Zielinski,Arad,Frattesi,Gromyko,Barella,Jorginho,Esposito,Edmilson,Martínez,Satpaev
Internacional,Champions League,2025,Manchester City,Borussia Dortmund,"4:1
(2:0)",Donnarumma,Kobel,Gvardiol,Anton,Stones,Schlotterb.,O'Reilly,Bensebaini,Nunes,Svensson,González,Ryerson,Reijnders,Sabitzer,Foden,Nmecha,Savinho,Adeyemi,Doku,Guirassy,Haaland,Beier
Internacional,Champions League,2025,Ajax de Ámsterdam,Galatasaray,"0:3
(0:0)",Pasveer,Çakır,Sutalo,Sánchez,Baas,Singo,Wijndal,Bardakcı,Gaaei,Jakobs,Mokio,Sallai,Regeer,Torreira,Klaassen,Lemina,Gloukh,Sara,Godts,Sané,Weghorst,Osimhen
Internacional,Champions League,2025,Club Brujas KV,FC Barcelona,"3:3
(2:1)",Jackers,Szczesny,Ordóñez,García,Mechele,Araujo,Seys,Balde,Sabbe,Koundé,Onyedika,Casadó,Stanković,de Jong,Vanaken,López,Tzolis,Rashford,Forbs,Lamine Yamal,Tresoldi,Torres
Internacional,Champions League,2025,Olympique de Marsella,Atalanta de Bérgamo,"0:1
(0:0)",Rulli,Carnesecchi,Egan-Riley,Djimsiti,Aguerd,Ahanor,Pavard,Kossounou,Garcia,de Roon,Murillo,Éderson,Højbjerg,Zappacosta,O'Riley,Bellanova,Paixão,De Ketelaere,Greenwood,Lookman,Aubameyang,Krstović
Internacional,Champions League,2025,SL Benfica,Bayer 04 Leverkusen,"0:1
(0:0)",Trubin,Flekken,Araújo,Quansah,Otamendi,Tapsoba,Dahl,Badé,Ríos,Grimaldo,Barrenechea,Arthur,Barreiro,García,Aursnes,Maza,Sudakov,Echeverri,Lukébakio,Poku,Pavlidis,Kofane
Internacional,Champions League,2025,Newcastle United,Athletic Club,"2:0
(1:0)",Pope,Simón,Botman,Paredes,Thiaw,Vivian,Burn,Boiro,Trippier,Areso,Tonali,Vesga,Joelinton,Jauregizar,Guimarães,Rego,Barnes,Gómez,Gordon,Berenguer,Woltemade,Navarro
Internacional,Champions League,2025,Ajax de Ámsterdam,SL Benfica,"0:2
(0:1)",Jaros,Trubin,Sutalo,Silva,Itakura,Otamendi,Baas,Dahl,Wijndal,Dedić,Regeer,Ríos,Taylor,Barrenechea,Klaassen,Barreiro,Bounida,Aursnes,Godts,Sudakov,Weghorst,Pavlidis
Internacional,Champions League,2025,Galatasaray,Union Saint-Gilloise,"0:1
(0:0)",Çakır,Scherpen,Sánchez,Burgess,Bardakcı,Mac Allister,Jakobs,Sykes,Sallai,Van De Perre,Torreira,Zorgane,Gündoğan,Khalaili,Sara,Niang,Yılmaz,Ait El Hadj,Sané,David,Icardi,Florucz
Internacional,Champions League,2025,SSC Nápoles,Qarabağ FK,"2:0
(0:0)",Milinković.,Kochalski,Buongiorno,Mustafazada,Beukema,Medina,Rrahmani,Cafarquliyev,Olivera,Matheus Si.,Di Lorenzo,Bicalho,Lobotka,Jankovic,McTominay,Zoubir,Lang,Addai,Neres,Leandro An.,Højlund,Durán
Internacional,Champions League,2025,Olympique de Marsella,Newcastle United,"2:1
(0:1)",Rulli,Pope,Balerdi,Burn,Pavard,Thiaw,Emerson,Schär,Vermeeren,Livramento,Højbjerg,Tonali,Weah,Willock,Bakola,Guimarães,Paixão,Gordon,Greenwood,Barnes,Aubameyang,Murphy
Internacional,Champions League,2025,FK Bodø/Glimt,Juventus de Turín,"2:3
(1:0)",Haikin,Perin,Aleesami,Kelly,Bjørtuft,Kalulu,Määttä,Cambiaso,Bjørkan,Locatelli,Sjøvold,Koopmeiners,Berg,McKennie,Evjen,Miretti,Fet,Adžić,Blomberg,Conceição,Høgh,Openda
Internacional,Champions League,2025,SK Slavia Praga,Athletic Club,"0:0
(0:0)",Stanek,Simón,Zima,Paredes,Chaloupek,Vivian,Mbodji,Boiro,Zafeiris,Areso,Sadílek,Rego,Moses,Ruiz de Ga.,Doudera,Sancet,Sanyang,Berenguer,Provod,Navarro,Chory,Guruzeta
Internacional,Champions League,2025,Chelsea FC,FC Barcelona,"3:0
(1:0)",Sánchez,García,Chalobah,Araujo,Fofana,Cubarsí,Cucurella,Balde,Gusto,Koundé,James,de Jong,Caicedo,López,Fernández,Lamine Yamal,Garnacho,Torres,Neto,Lewandowski,Estêvão,Diego Kochen
Internacional,Champions League,2025,Manchester City,Bayer 04 Leverkusen,"0:2
(0:1)",Trafford,Flekken,Stones,Belocian,Aké,Quansah,Khusanov,Badé,Aït-Nouri,Grimaldo,Lewis,García,González,Tillman,Reijnders,Maza,Savinho,Poku,Bobb,Schick,Marmoush,Kofane
Internacional,Champions League,2025,Borussia Dortmund,Villarreal CF,"4:0
(1:0)",Kobel,Luiz Júnior,Anton,Foyth,Anselmino,Veiga,Schlotterb.,Cardona,Svensson,Mouriño,Sabitzer,Partey,Nmecha,Gueye,Couto,Comesaña,Brandt,Pépé,Adeyemi,Buchanan,Guirassy,Oluwaseyi
Internacional,Champions League,2025,FC Copenhague,Kairat Almaty,"3:2
(1:0)",Kotarski,Anarbekov,Gabriel Pe.,Sorokin,Suzuki,Shirobokov,Hatzidiakos,Mrynskiy,López,Tapalov,Clem,Kasabulat,Lerager,Glazer,Robert,Gromyko,Larsson,Satpaev,Claesson,Jorginho,Dadason,Edmilson
Internacional,Champions League,2025,Pafos FC,AS Mónaco,"2:2
(1:2)",Michail,Hradecky,David Luiz,Salisu,Luckassen,Caio Henri.,Goldar,Teze,Bruno,Vanderson,Šunjić,Zakaria,Quina,Camara,Pêpê,Golovin,Dragomir,Minamino,Orsic,Akliouche,Anderson S.,Balogun
Internacional,Champions League,2025,Eintracht Fráncfort​​,Atalanta de Bérgamo,"0:3
(0:0)",Zetterer,Carnesecchi,Koch,Hien,Theate,Djimsiti,Collins,Kossounou,Brown,de Roon,Dahoud,Éderson,Götze,Bellanova,Chaïbi,Zappacosta,Knauff,De Ketelaere,Doan,Lookman,Burkardt,Scamacca
Internacional,Champions League,2025,Olympiacos El Pireo,Real Madrid CF,"3:4
(1:3)",Tzolakis,Lunin,Pirola,Asencio,Retsos,Carreras,Ortega,Mendy,Rodinei,Alexander-.,García,Tchouaméni,Mouzakitis,Valverde,Chiquinho,Camavinga,Podence,Güler,Martins,Vinicius J.,El Kaabi,Mbappé
Internacional,Champions League,2025,París Saint-Germain FC,Tottenham Hotspur,"5:3
(1:1)",Chevalier,Vicario,Marquinhos,van de Ven,Pacho,Romero,Mendes,Spence,Vitinha,Porro,Neves,Bentancur,Ruiz,Gray,Zaïre-Emery,Sarr,Barcola,Bergvall,Kvaratskhe.,Kolo Muani,Ndjantou,Richarlison
Internacional,Champions League,2025,Liverpool FC,PSV Eindhoven,"1:4
(1:1)",Mamardashv.,Kovar,Konaté,Gasiorowski,van Dijk,Salah-Eddine,Kerkez,Mauro Júnior,Gravenberch,Dest,Mac Allister,Schouten,Jones,Veerman,Szoboszlai,Saibari,Gakpo,Til,Salah,Perišić,Ekitiké,Man
Internacional,Champions League,2025,Sporting de Lisboa,Club Brujas KV,"3:0
(2:0)",Silva,Jackers,Diomande,Ordóñez,Inácio,Mechele,Araújo,Seys,Fresneda,Siquet,Hjulmand,Stanković,Simões,Onyedika,Trincão,Vanaken,Quenda,Tzolis,Catamo,Forbs,Suárez,Vermant
Internacional,Champions League,2025,Atlético de Madrid,Inter de Milán,"2:1
(1:0)",Musso,Sommer,Hancko,Bisseck,Giménez,Bastoni,Ruggeri,Akanji,Molina,Carlos Aug.,Barrios,Dimarco,Gallagher,Çalhanoğlu,Cardoso,Zielinski,Baena,Barella,Simeone,Martínez,Alvarez,Bonny
Internacional,Champions League,2025,Arsenal FC,Bayern Múnich,"3:1
(1:1)",Raya,Neuer,Saliba,Upamecano,Mosquera,Tah,Timber,Stanisic,Zubimendi,Laimer,Merino,Kimmich,Rice,Pavlovic,Lewis-Skelly,Karl,Eze,Olise,Trossard,Gnabry,Saka,Kane
Internacional,Champions League,2025,Kairat Almaty,Olympiacos El Pireo,"0:1
(0:0)",Anarbekov,Tzolakis,Sorokin,Pirola,Shirobokov,Biancone,Mata,Ortega,Tapalov,Rodinei,Mrynskiy,Hezze,Baybek,Mouzakitis,Glazer,Chiquinho,Zaria,Podence,Edmilson,Martins,Ricardinho,El Kaabi
Internacional,Champions League,2025,Bayern Múnich,Sporting de Lisboa,"3:1
(0:0)",Neuer,Silva,Upamecano,Diomande,Tah,Quaresma,Laimer,Araújo,Stanisic,Matheus Reis,Kimmich,Fresneda,Pavlovic,Hjulmand,Karl,Simões,Olise,Santos,Gnabry,Catamo,Kane,Suárez
Internacional,Champions League,2025,PSV Eindhoven,Atlético de Madrid,"2:3
(1:1)",Kovar,Oblak,Gasiorowski,Hancko,Salah-Eddine,Pubill,Mauro Júnior,Ruggeri,Dest,Molina,Schouten,Koke,Veerman,Barrios,Wanner,González,Saibari,Simeone,Til,Alvarez,Driouech,Sørloth
Internacional,Champions League,2025,Tottenham Hotspur,SK Slavia Praga,"3:0
(1:0)",Vicario,Stanek,van de Ven,Zima,Romero,Ogbu,Spence,Chaloupek,Porro,Holes,Palhinha,Sadílek,Gray,Moses,Simons,Doudera,Odobert,Provod,Kudus,Sanyang,Richarlison,Chytil
Internacional,Champions League,2025,Inter de Milán,Liverpool FC,"0:1
(0:0)",Sommer,Alisson,Akanji,Konaté,Bastoni,van Dijk,Acerbi,Gomez,Dimarco,Robertson,Çalhanoğlu,Gravenberch,Barella,Mac Allister,Mkhitaryan,Jones,Luis Henri.,Szoboszlai,Martínez,Isak,Thuram,Ekitiké
Internacional,Champions League,2025,Union Saint-Gilloise,Olympique de Marsella,"2:3
(1:2)",Scherpen,Rulli,Leysen,Aguerd,Burgess,Emerson,Mac Allister,Murillo,Zorgane,Højbjerg,Schoofs,Vermeeren,Van De Perre,O'Riley,Khalaili,Weah,Niang,Paixão,Rodríguez,Greenwood,Florucz,Aubameyang
Internacional,Champions League,2025,AS Mónaco,Galatasaray,"1:0
(0:0)",Hradecky,Çakır,Salisu,Sánchez,Kehrer,Bardakcı,Caio Henri.,Jakobs,Vanderson,Sallai,Zakaria,Torreira,Camara,Sara,Golovin,Gündoğan,Minamino,Yılmaz,Akliouche,Sané,Balogun,Osimhen
Internacional,Champions League,2025,Atalanta de Bérgamo,Chelsea FC,"2:1
(0:1)",Carnesecchi,Sánchez,Kolasinac,Chalobah,Djimsiti,Badiashile,Kossounou,Cucurella,de Roon,Acheampong,Éderson,James,Bellanova,Caicedo,Bernasconi,Fernández,De Ketelaere,Gittens,Lookman,Neto,Scamacca,João Pedro
Internacional,Champions League,2025,FC Barcelona,Eintracht Fráncfort​​,"2:1
(0:1)",García,Zetterer,Martín,Koch,Cubarsí,Theate,Balde,Brown,Koundé,Kristensen,Pedri,Skhiri,López,Larsson,Raphinha,Chaïbi,Lamine Yamal,Götze,Lewandowski,Knauff,Wojciech Szczesny,Doan
Internacional,Champions League,2025,Villarreal CF,FC Copenhague,"2:3
(0:1)",Luiz Júnior,Kotarski,Veiga,Gabriel Pe.,Marín,Suzuki,Navarro,López,Pedraza,Zague,Comesaña,Clem,Gueye,Madsen,Moleiro,Robert,Pépé,Larsson,Buchanan,Elyounoussi,Mikautadze,Dadason
Internacional,Champions League,2025,Qarabağ FK,Ajax de Ámsterdam,"2:4
(1:1)",Kochalski,Jaros,Mustafazada,Bouwman,Medina,Baas,Cafarquliyev,Itakura,Matheus Si.,Gaaei,Bicalho,Rosa,Jankovic,Mokio,Zoubir,Steur,Addai,Gloukh,Leandro An.,Moro,Durán,Dolberg
Internacional,Champions League,2025,Club Brujas KV,Arsenal FC,"0:3
(0:1)",van den He.,Raya,Ordóñez,Hincapié,Mechele,White,Seys,Zubimendi,Siquet,Nørgaard,Stanković,Merino,Onyedika,Lewis-Skelly,Vanaken,Ødegaard,Tzolis,Martinelli,Forbs,Madueke,Tresoldi,Gyökeres
Internacional,Champions League,2025,Juventus de Turín,Pafos FC,"2:0
(0:0)",Di Gregorio,Michail,Kelly,Goldar,Kalulu,Luckassen,Cambiaso,David Luiz,Koopmeiners,Bruno,Locatelli,Šunjić,McKennie,Pêpê,Miretti,Dragomir,Yıldız,Orsic,Zhegrova,Correia,David,Anderson S.
Internacional,Champions League,2025,Athletic Club,París Saint-Germain FC,"0:0
(0:0)",Simón,Safonov,Vivian,Marquinhos,Berchiche,Pacho,Boiro,Mendes,Areso,Vitinha,Jauregizar,Neves,Ruiz de Ga.,Ruiz,Sancet,Mayulu,Williams,Zaïre-Emery,Berenguer,Kvaratskhe.,Guruzeta,Barcola
Internacional,Champions League,2025,Real Madrid CF,Manchester City,"1:2
(1:2)",Courtois,Donnarumma,Rüdiger,Dias,Asencio,Gvardiol,Carreras,O'Reilly,Tchouaméni,Nunes,Ceballos,González,Valverde,Foden,Bellingham,Silva,Vinicius J.,Cherki,Rodrygo,Doku,García,Haaland
Internacional,Champions League,2025,SL Benfica,SSC Nápoles,"2:0
(1:0)",Trubin,Milinković.,Araújo,Buongiorno,Otamendi,Beukema,Dahl,Rrahmani,Dedić,Olivera,Ríos,Di Lorenzo,Barrenechea,McTominay,Barreiro,Elmas,Aursnes,Lang,Sudakov,Neres,Ivanović,Højlund
Internacional,Champions League,2025,Bayer 04 Leverkusen,Newcastle United,"2:2
(1:0)",Flekken,Ramsdale,Quansah,Burn,Tapsoba,Thiaw,Grimaldo,Hall,Arthur,Livramento,Andrich,Tonali,García,Joelinton,Maza,Guimarães,Tillman,Gordon,Poku,Barnes,Schick,Woltemade
Internacional,Champions League,2025,Borussia Dortmund,FK Bodø/Glimt,"2:2
(1:1)",Kobel,Haikin,Anton,Aleesami,Bensebaini,Bjørtuft,Schlotterb.,Määttä,Anselmino,Sjøvold,Bellingham,Berg,Nmecha,Evjen,Couto,Fet,Brandt,Hauge,Beier,Blomberg,Silva,Høgh
Internacional,Champions League,2025,Kairat Almaty,Club Brujas KV,"1:4
(0:2)",Anarbekov,Jackers,Martynovich,Ordóñez,Sorokin,Mechele,Mata,Seys,Mrynskiy,Sabbe,Tapalov,Stanković,Glazer,Vetlesen,Kasabulat,Vanaken,Gromyko,Diakhon,Jorginho,Forbs,Edmilson,Vermant
Internacional,Champions League,2025,FK Bodø/Glimt,Manchester City,"3:1
(2:0)",Haikin,Donnarumma,Gundersen,Alleyne,Bjørtuft,Khusanov,Bjørkan,Aït-Nouri,Sjøvold,O'Reilly,Berg,Lewis,Evjen,Rodri,Fet,Reijnders,Hauge,Foden,Blomberg,Cherki,Høgh,Haaland
Internacional,Champions League,2025,FC Copenhague,SSC Nápoles,"1:1
(0:1)",Kotarski,Milinković.,Gabriel Pe.,Buongiorno,Suzuki,Juan Jesus,Meling,Gutiérrez,López,Spinazzola,Delaney,Di Lorenzo,Madsen,Lobotka,Achouri,McTominay,Elyounoussi,Elmas,Cornelius,Vergara,Dadason,Højlund
Internacional,Champions League,2025,Olympiacos El Pireo,Bayer 04 Leverkusen,"2:0
(2:0)",Tzolakis,Blaswich,Retsos,Quansah,Pirola,Badé,Ortega,Grimaldo,Rodinei,Vázquez,Costinha,Andrich,Hezze,Fernández,Mouzakitis,García,Chiquinho,Maza,Martins,Poku,Taremi,Kofane
Internacional,Champions League,2025,Tottenham Hotspur,Borussia Dortmund,"2:0
(2:0)",Vicario,Kobel,Romero,Anton,Danso,Bensebaini,Spence,Schlotterb.,Udogie,Svensson,Porro,Bellingham,Bergvall,Nmecha,Gray,Couto,Simons,Brandt,Odobert,Adeyemi,Solanke,Guirassy
Internacional,Champions League,2025,Inter de Milán,Arsenal FC,"1:3
(1:2)",Sommer,Raya,Akanji,Saliba,Acerbi,Mosquera,Bastoni,Timber,Dimarco,Zubimendi,Barella,Lewis-Skelly,Sučić,Merino,Zielinski,Eze,Luis Henri.,Trossard,Martínez,Saka,Thuram,Jesus
Internacional,Champions League,2025,Real Madrid CF,AS Mónaco,"6:1
(2:0)",Courtois,Köhn,Asencio,Dier,Huijsen,Kehrer,Tchouaméni,Caio Henri.,Valverde,Vanderson,Camavinga,Teze,Bellingham,Zakaria,Güler,Golovin,Vinicius J.,Fati,Mastantuono,Akliouche,Mbappé,Balogun
Internacional,Champions League,2025,Sporting de Lisboa,París Saint-Germain FC,"2:1
(0:0)",Silva,Chevalier,Inácio,Marquinhos,Matheus Reis,Pacho,Mangas,Mendes,Araújo,Vitinha,Fresneda,Mayulu,Morita,Ruiz,Simões,Zaïre-Emery,Trincão,Barcola,Catamo,Doué,Suárez,Dembélé
Internacional,Champions League,2025,Villarreal CF,Ajax de Ámsterdam,"1:2
(0:0)",Tenas,Jaros,Veiga,Bouwman,Marín,Baas,Cardona,Wijndal,Mouriño,Gaaei,Partey,Mokio,Comesaña,Regeer,Moleiro,Klaassen,Pépé,Gloukh,Oluwaseyi,Godts,Pérez,Dolberg
Internacional,Champions League,2025,Galatasaray,Atlético de Madrid,"1:1
(1:1)",Çakır,Oblak,Sánchez,Hancko,Bardakcı,Pubill,Elmalı,Ruggeri,Sallai,Llorente,Lemina,Koke,Torreira,Barrios,Yılmaz,Almada,Akgün,Simeone,Sané,Alvarez,Osimhen,Sørloth
Internacional,Champions League,2025,Qarabağ FK,Eintracht Fráncfort​​,"3:2
(1:1)",Kochalski,Santos,Mustafazada,Koch,Medina,Theate,Cafarquliyev,Collins,Matheus Si.,Brown,Bicalho,Kristensen,Jankovic,Skhiri,Montiel,Larsson,Zoubir,Uzun,Leandro An.,Doan,Durán,Knauff
Internacional,Champions League,2025,Juventus de Turín,SL Benfica,"2:0
(0:0)",Di Gregorio,Trubin,Kelly,Araújo,Bremer,Otamendi,Kalulu,Dahl,Cambiaso,Dedić,Locatelli,Barreiro,Miretti,Aursnes,McKennie,Sudakov,Thuram,Schjelderup,Yıldız,Prestianni,David,Pavlidis
Internacional,Champions League,2025,Olympique de Marsella,Liverpool FC,"0:3
(0:1)",Rulli,Alisson,Balerdi,Gomez,Medina,van Dijk,Pavard,Kerkez,Murillo,Frimpong,Kondogbia,Gravenberch,Højbjerg,Mac Allister,Weah,Szoboszlai,Traoré,Wirtz,Greenwood,Salah,Gouiri,Ekitiké
Internacional,Champions League,2025,SK Slavia Praga,FC Barcelona,"2:4
(2:2)",Stanek,García,Zima,Martín,Chaloupek,Balde,Holes,Koundé,Sadílek,de Jong,Oscar,Pedri,Moses,López,Provod,Raphinha,Sanyang,Bardghji,Kusej,Lewandowski,Chory,Diego Kochen
Internacional,Champions League,2025,Chelsea FC,Pafos FC,"1:0
(0:0)",Jørgensen,Gorter,Badiashile,Luckassen,Fofana,Pileas,Hato,Sema,James,Bruno,Gusto,Šunjić,Caicedo,Pêpê,Fernández,Dragomir,Garnacho,Orsic,Neto,Jajá,Delap,Anderson S.
Internacional,Champions League,2025,Bayern Múnich,Union Saint-Gilloise,"2:0
(0:0)",Neuer,Scherpen,Kim,Burgess,Tah,Mac Allister,Guerreiro,Sykes,Pavlovic,Van De Perre,Kimmich,Zorgane,Bischof,Khalaili,Karl,Ait El Hadj,Díaz,Smith,Olise,David,Kane,Florucz
